"Product Code","Amazon ASIN","Name","Sku Id","Selling Price","MRP","Cost Price","Quantity","Packaging Length (in cm)","Packaging Breadth (in cm)","Packaging Height (in cm)","Packaging Weight (in kg)","GST %","Image 1","Image 2","Image 3","Image 4","Image 5","Image 6","Image 7","Image 8","Image 9","Image 10","Video 1","Video 2","Product Type","Size Type","Size","Colour","Description","Return/Exchange Condition","Visibility","Size Chart","Pickup Point","HSN Code","Customisation Id","Associated Pixel","attr_Brand","attr_Material","attr_Ideal For","attr_Feature","attr_Country of Origin","attr_ Type","attr_Outer Material","attr_Ideal for","attr_Product Type","attr_Features","attr_Country_of_Origin","attr_Additional Feature"
"Vase-124","","Combo of White Vase, one lavender stick and 2 green leaf sticks For Home Decor","HOD-124",1199,2398,120,30,15,36,15,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Vase_124_1750851214594_dls9atxt9y4gnnf.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Vase_124_1750851215599_dlhz6asrbt3h7e3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/A7XrEPPa_ZYXMZQ7MYN_2025-07-17_1.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/A7XrEPPa_IFPEDYKM8E_2025-07-17_2.jpg","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","White, Lavender, green","The compact wave-like pattern and the rustic jute rope accent around the neck, blending modern design with natural elements.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Vase for Small Flower Bouquets or flower sticks","India",,,,,,,
"Artificial Flower Stick-101","","Soft Pink Artificial Cherry Blossom Flower Stick For Home Decor","HOD-101",399,798,130,30,7,7,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/C8KDDKgP_ITLEU7QA3I_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/C8KDDKgP_SELWA5QZ41_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Soft pink","Artificial Cherry Blossom Flowers are elegantly crafted to replicate the soft, graceful petals of real flower.This artificial cherry blossom bouquet offers a lightweight yet durable design, ensuring it maintains its shape and vibrancy over time without wilting or fading. Since it requires no watering or sunlight, it provides a hassle-free way to enjoy the calming, romantic ambiance of cherry blossoms regardless of season or environment.","1",true,"",1,"","","","House of Dhaarna","Soft and high quality silk and durable material","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Clean with a cloth.","India","Artificial Flower",,,,,,
"Artificial Flower Stick-102","","Yellow Artificial Cherry Blossom Flower Stick For Home Decor","HOD-102",399,798,130,30,8,7,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Mon6pzwk_I27M4QK656_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Mon6pzwk_W9ALX4SQPA_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Yellow","Artificial Cherry Blossom Flowers are elegantly crafted to replicate the soft, graceful petals of real flower.This artificial cherry blossom bouquet offers a lightweight yet durable design, ensuring it maintains its shape and vibrancy over time without wilting or fading. Since it requires no watering or sunlight, it provides a hassle-free way to enjoy the calming, romantic ambiance of cherry blossoms regardless of season or environment.","1",true,"",1,"","","","House of Dhaarna","Soft and high quality silk and durable material","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Clean with a cloth.","India","Artificial Flower",,,,,,
"Artificial Flower Stick-100","","White Artificial Cherry Blossom Flower Stick For Home Decor","HOD-100",499,998,130,30,8,7,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/bEkhNV3B_EXEP2M9LEA_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/bEkhNV3B_A5FQEAGNR9_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","White","Artificial Cherry Blossom Flowers are elegantly crafted to replicate the soft, graceful petals of real flower.This artificial cherry blossom bouquet offers a lightweight yet durable design, ensuring it maintains its shape and vibrancy over time without wilting or fading. Since it requires no watering or sunlight, it provides a hassle-free way to enjoy the calming, romantic ambiance of cherry blossoms regardless of season or environment.","1",true,"",1,"","","","House of Dhaarna","Soft and high quality silk and durable material","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Clean with a cloth.","India","Artificial Flower",,,,,,
"Artificial Flower Stick-118","","Combo of Red-Orange Artificial Cherry stick with donut Vase For Home Decor","HOD-118",899,1798,250,30,18,36,15,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Artificial_Flower_Stick_118_1750851207358_2t7ered545gc3td.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Artificial_Flower_Stick_118_1750851207367_8lx11v6pppsjoj3.jpg","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/Lea8JkaU_WCBGSY9FXT_2025-07-03_1.jpg","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Red-Orange, White","Combo of Artificial Cherry stick with Donut shape white Vase (High quality plastic) for home decor, gifting or special occasions. Crafted using high-quality plastic and realistic materials.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight- Long Lasting and Easy to maintain","India",,,,,,,
"Artificial Flower Bouquet-92","","Green Artificial Carnation Bouquet For Home Decor","HOD-92",499,998,150,30,10,9,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/bLVIDClX_VQCBJVVVJ9_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/bLVIDClX_64W90C467H_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Green","Carnation Flower bouquet with soft layered petals. Available in Vibrant colors.Each carnation flower in the bouquet showcases multiple layers of gently ruffled petals, creating a lush and voluminous appearance that mimics the delicate softness of nature’s own artistry. The petals’ subtle variations in shape and size add a sense of depth and realism, while the vivid colors—from bold reds and pinks to bright oranges and creamy whites—bring an energizing vibrancy to your decor. This spectrum of vibrant hues allows you to choose a bouquet that perfectly complements your interior style, whether you prefer a striking focal point or a harmonious accent.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-94","","Yellow Artificial Carnation Bouquet For Home Decor","HOD-94",499,998,150,30,10,10,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/YgDouNom_NWI1TAR1MH_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/YgDouNom_RQVE9SQQ5W_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Yellow","Carnation Flower bouquet with soft layered petals. Available in Vibrant colors.Each carnation flower in the bouquet showcases multiple layers of gently ruffled petals, creating a lush and voluminous appearance that mimics the delicate softness of nature’s own artistry. The petals’ subtle variations in shape and size add a sense of depth and realism, while the vivid colors—from bold reds and pinks to bright oranges and creamy whites—bring an energizing vibrancy to your decor. This spectrum of vibrant hues allows you to choose a bouquet that perfectly complements your interior style, whether you prefer a striking focal point or a harmonious accent.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-96","","Red Artificial Carnation Bouquet For Home Decor","HOD-96",499,998,150,29,10,10,40,"0.1",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/0Kclv1Cn_XY6H5WTFW7_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/0Kclv1Cn_6XSTQG7EFC_2025-06-12_1.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Red","Carnation Flower bouquet with soft layered petals. Available in Vibrant colors.Each carnation flower in the bouquet showcases multiple layers of gently ruffled petals, creating a lush and voluminous appearance that mimics the delicate softness of nature’s own artistry. The petals’ subtle variations in shape and size add a sense of depth and realism, while the vivid colors—from bold reds and pinks to bright oranges and creamy whites—bring an energizing vibrancy to your decor. This spectrum of vibrant hues allows you to choose a bouquet that perfectly complements your interior style, whether you prefer a striking focal point or a harmonious accent.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-106","","Purple Artificial Carnation Bouquet for Home Decor","HOD-106",499,998,150,28,7,8,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/GQ6iDPOR_R7QI1UOHT6_2025-06-19_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/GQ6iDPOR_L97GY6VRD3_2025-06-19_2.png","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Purple","Artificial Carnation Flower bouquet with soft layered petals. Available in Vibrant colors. Each carnation flower in the bouquet showcases multiple layers of gently ruffled petals, creating a lush and voluminous appearance that mimics the delicate softness of nature’s own artistry. The petals’ subtle variations in shape and size add a sense of depth and realism, while the vivid colors—from bold reds and pinks to bright oranges and creamy whites—bring an energizing vibrancy to your decor. This spectrum of vibrant hues allows you to choose a bouquet that perfectly complements your interior style, whether you prefer a striking focal point or a harmonious accent.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and Fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight.
 
 Clean with a cloth.","India","Artificial Flower",,,,,,
"Artificial Flower Bouquet-95","","Light Blue Artificial Carnation Bouquet For Home Decor","HOD-95",499,998,150,30,10,10,40,"0.3",18,"https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/lpLXGwjo_INOO1ZRVO1_2025-06-09_1.png","https://s3.ap-south-1.amazonaws.com/nushop-catalogue/68394b1972a04e21d2579ce0/cat_img/lpLXGwjo_RKNH7YMHKP_2025-06-12_1.jpg","","","","","","","","","","","home__home_improvement__plants_gardening","size","Free Size","Light Blue","Carnation Flower bouquet with soft layered petals. Available in Vibrant colors.Each carnation flower in the bouquet showcases multiple layers of gently ruffled petals, creating a lush and voluminous appearance that mimics the delicate softness of nature’s own artistry. The petals’ subtle variations in shape and size add a sense of depth and realism, while the vivid colors—from bold reds and pinks to bright oranges and creamy whites—bring an energizing vibrancy to your decor. This spectrum of vibrant hues allows you to choose a bouquet that perfectly complements your interior style, whether you prefer a striking focal point or a harmonious accent.","1",true,"",1,"","","","House of Dhaarna","High Quality Plastic and fabric","Home decor (living room, bedroom, or hallway)
Table centerpiece for dining or coffee tables
Balcony or window Gifting for housewarmings, birthdays, or anniversaries
Adding a touch of elegance to office desks or reception areas","Low Maintenance: No watering or sunlight","India","Artificial Flower",,,,,,
